"Time","alice outbound","bob outbound","charlie outbound","dave outbound","erin outbound","frank outbound","ian outbound","jade outbound","luke outbound","mike outbound"
1734793200000,undefined,55997.799999999996,30499.177777777775,15881.555555555555,undefined,1298.8,83540.88888888889,19835.022222222222,undefined,1422.4888888888888
1734800400000,undefined,18789.6,7480.266666666666,4543.355555555555,undefined,915.8444444444444,25253.377777777776,21211.31111111111,undefined,651.4
1734807600000,undefined,107143.62222222221,57697.6,54869.13333333333,undefined,1358.111111111111,19605.155555555553,17021.48888888889,undefined,718.8666666666666
1734814800000,undefined,28545.155555555553,25424.4,68800.26666666666,undefined,729.2,37221.2,13309.93333333333,undefined,1073.5333333333333
1734822000000,undefined,17033.933333333334,9610.71111111111,51763.59999999999,undefined,1413.4666666666667,24077.511111111107,114656.62222222221,undefined,1233.6444444444444
1734829200000,undefined,18469.533333333333,26696.933333333334,10025.377777777778,undefined,327.9777777777778,19039.42222222222,20508.2,undefined,1536
1734836400000,undefined,13016.444444444443,10289.31111111111,9394.688888888888,undefined,767.1777777777777,33311.2,10528.288888888888,undefined,316.9555555555555
1734843600000,undefined,10771.444444444443,17819,7801.0888888888885,undefined,1432.3333333333333,12213.288888888888,20322.355555555554,undefined,577.1777777777777
1734850800000,undefined,177652.95555555553,71755.24444444444,134524.15555555554,undefined,1256.177777777778,81492,36398.24444444444,undefined,676.9777777777778
1734858000000,undefined,21610.955555555553,17043.666666666668,16504.933333333334,undefined,676.8888888888888,20461.844444444443,67259.11111111111,undefined,835.5777777777778
1734865200000,undefined,33298.444444444445,34782.35555555556,44104.933333333334,undefined,77660.7111111111,20558.783002933593,19739.022222222222,undefined,2060.111111111111
1734872400000,undefined,32878.044444444444,20652.333333333332,8571.133333333333,undefined,2408.4444444444443,28502.555555555555,49364.35555555555,undefined,1124.8444444444444
1734879600000,undefined,61599.044444444444,17428.133333333335,154748.7111111111,undefined,760.4666666666667,34388.24444444445,27883.933333333334,undefined,652.311111111111
1734886800000,undefined,14301.088888888888,17508.133333333335,17923.955555555553,undefined,2978.1555555555556,19207.555555555555,15960.62222222222,undefined,754.0666666666667
1734894000000,undefined,18089.355555555554,44240.444444444445,52101.911111111105,undefined,2931.6666666666665,41926.48888888888,30129.222222222223,undefined,2324.133333333333
1734901200000,undefined,76176.04444444443,33556.933333333334,148742.35555555552,undefined,1546.8444444444444,59688.35555555555,13767.8,undefined,704.8444444444444
1734908400000,undefined,24199.62222222222,17274.11111111111,16048.93333333333,undefined,1436.3555555555554,16959.444444444445,14065.8,undefined,436.8
1734915600000,undefined,47822.31111111111,8853.22222222222,27456.888888888887,undefined,2198.733333333333,101556.62222222221,21579.933333333334,undefined,503.9333333333333
1734922800000,undefined,20025.644444444442,388669.8222222222,7023.933333333333,undefined,1952.8,9310.777777777777,6558.11111111111,undefined,385.0222222222222
1734930000000,undefined,11200.222222222223,12034.244444444445,8676.933333333332,undefined,2377.244444444444,22125.44444444444,11565.666666666666,undefined,351.51111111111106
1734937200000,undefined,20040.133333333335,7722.377777777777,13992.355555555556,undefined,1027.1777777777777,14117.177777777777,13242.377777777778,undefined,567.7111111111111
1734944400000,undefined,20670.844444444443,17217.466666666664,19193.577777777777,undefined,1244.6666666666667,22407.711111111108,29664.755555555555,undefined,1099.6444444444446
1734951600000,undefined,12571.577777777777,37959.846229056486,24607.066666666666,undefined,2773.111111111111,15708.511111111111,12318,undefined,723.9333333333333
1734958800000,undefined,18324.955555555553,17432.866666666665,16521.93333333333,undefined,4388.688888888889,21249.755555555555,21356.44444444444,undefined,1041.711111111111
1734966000000,undefined,26873.022222222222,17848.733333333334,32196.511111111107,undefined,2916.2888888888892,21336.28888888889,22165.466666666664,undefined,879.4
1734973200000,undefined,22298.066666666666,15339.31111111111,44270.222222222226,undefined,1394.2222222222222,28106.577777777777,18591.133333333335,undefined,860.8666666666667
1734980400000,undefined,109805.17777777776,100578.17777777776,110177.26666666666,undefined,30809.222222222223,49025.13333333333,60617.777777777774,undefined,1490.1555555555556
1734987600000,undefined,18388.42222222222,7069.4222222222215,20105.866666666665,undefined,3072.1777777777775,7492.555555555556,19701.62222222222,undefined,691.1111111111111
1734994800000,undefined,50940.6,29677.644444444442,70624.24444444444,undefined,1606,43158.73333333333,75227.88888888889,undefined,1641.7777777777778
1735002000000,undefined,91237.2,15398.155555555557,79907.02222222222,undefined,8746.622222222222,66521.24444444444,48057.777777777774,undefined,880.6444444444444
1735009200000,undefined,49456.02222222222,28895.066666666666,12800.399999999998,undefined,39928.75555555556,45732.86666666667,33363.84444444444,undefined,538.0222222222222
1735016400000,undefined,36625.73333333333,11024.755555555554,16961.044444444444,undefined,3319.4666666666667,44028,31089.24444444444,undefined,1071.8
1735023600000,undefined,9935.355555555554,16249.266666666665,11340.822222222221,undefined,2923.2,15641.755555555554,6607.622222222222,undefined,640.6
1735030800000,undefined,9642.177777777777,11519.488888888887,11236.999999999998,undefined,41634.57777777778,16747.888888888887,16324.066666666668,undefined,989.6444444444443
1735038000000,undefined,17171.466666666667,18724.959441740564,18017.088888888888,undefined,3196.355555555556,20396.866666666665,13751.755555555554,undefined,866.1777777777777
1735045200000,undefined,13889.244444444445,15663.044444444444,13284.533333333331,undefined,3139.488888888889,12968.02222222222,12863,undefined,696.4888888888889
