"Time","alice inbound","bob inbound","charlie inbound","dave inbound","erin inbound","frank inbound","ian inbound","jade inbound","luke inbound","mike inbound"
1732777200000,34819.71111111111,42600.64444444444,42931.57777777778,93503.8,undefined,299.0444444444444,43018.26666666667,undefined,41295.95555555555,8174.244444444444
1732784400000,16314.22222222222,19489.6,18179.644444444442,34167.333333333336,undefined,300.55555555555554,17341.466666666667,undefined,15006.066666666664,3278.755555555555
1732791600000,38436.26666666667,48652.666666666664,48447.97777777778,103463.53333333334,undefined,212.64444444444445,47120.37777777777,undefined,44651.02222222222,8263.555555555555
1732798800000,25286.04444444444,33171.177777777775,33965.177777777775,68610.08888888889,undefined,380.50894543838206,33706.777777777774,undefined,29382.488888888885,6126.399999999999
1732806000000,16432.355555555554,14633.755555555554,13567.177777777777,24347.755555555555,undefined,508.46666666666664,13959.822222222221,undefined,14094.22222222222,5875.955555555555
1732813200000,9162.688888888888,9700.133333333333,9029.111111111111,25023.6,undefined,463.24444444444447,10337.333333333334,undefined,8536.755555555555,1949.0888888888885
1732820400000,8508.8,9998.377777777778,8684.62222222222,18473.933333333334,undefined,504.8444444444444,10228.822222222221,undefined,10207.933333333332,2053.5777777777776
1732827600000,6981.355555555555,8430.844444444443,7394.333333333333,15928.444444444443,undefined,450.1777777777778,6873.4,undefined,6190.177777777777,1494.333333333333
1732834800000,10205.666666666666,9813.866666666667,8065.688888888888,20407.555555555555,undefined,309.53333333333336,7649.688888888889,undefined,7021.288888888888,1745.4666666666667
1732842000000,5428.555555555556,5209.844444444445,5048.933333333333,12095,undefined,428.75555555555553,5884.066666666667,undefined,4995.333333333333,1091.5555555555554
1732849200000,35301.86666666667,19252.088888888888,23895.022222222222,41786.088888888895,undefined,411.7777777777777,18988.888888888887,undefined,12389.530886104027,3335.733333333333
1732856400000,10577.02222222222,10129.266666666666,9644.68888888889,16326.133333333333,undefined,494.3333333333333,9973.577777777777,undefined,9545.02222222222,3661.8444444444444
1732863600000,10516,11800.955555555554,10558.02222222222,17899.8,undefined,349.7111111111111,10626.8,undefined,9951.533333333333,3604.755555555555
1732870800000,11634.68888888889,12138.088888888888,14533.4,21439.48888888889,undefined,277.3333333333333,12954.777777777777,undefined,12931.422222222222,3807.6666666666665
1732878000000,10449.133333333331,8955.577777777777,7443.155555555555,16961.266666666666,undefined,275.4,26641.022222222222,undefined,6940.844444444445,1618.9777777777776
1732885200000,12074.955555555554,13003.955555555556,12506.444444444443,28069.17777777778,undefined,33066.666666666664,13132.133333333333,undefined,0,3850.5333333333333
1732892400000,19428.355555555554,20603.711111111108,19017.644444444442,35288.35555555556,undefined,334.97777777777776,19613.977777777778,undefined,0,6002.733333333334
1732899600000,8533.893221355727,9303.62222222222,8211.555555555555,20093.088888888888,undefined,808.2666666666667,9319.933333333332,undefined,8564.8,1797.1555555555556
1732906800000,7731.444444444443,9398.02222222222,8439.842691136935,17985.644444444446,undefined,386.7333333333333,9159.377777777778,undefined,7100.711111111111,1520.1111111111109
1732914000000,5392.711111111111,6867.0888888888885,5646.777777777778,11397.355555555556,undefined,185.46666666666667,5536.955555555555,undefined,5927.822222222222,1016.1333333333332
1732921200000,8147,10249.8,9414.2,19310.71111111111,undefined,345.3999999999999,9194.844444444443,undefined,8119.711111111111,1875.3555555555554
1732928400000,6087.266666666666,6856.8,6920.711111111112,14657.555555555555,undefined,187.57777777777775,6842.844444444444,undefined,5899.355555555555,1230.311111111111
1732935600000,13323.577777777777,10857.666666666666,11627.777777777777,19584.933333333334,undefined,71871.31576020464,13099.333333333334,undefined,12735.644444444444,3238.111111111111
1732942800000,6285.888888888889,7265.2,5713.622222222222,11991.777777777777,undefined,310.2888888888889,5203.11111111111,undefined,5084.533333333334,855
1732950000000,18535.6,10631.733333333334,11963.02222222222,25315,undefined,247.86666666666667,13310.333333333332,undefined,11513.177777777777,1959.3555555555554
1732957200000,13058.444444444443,23762.377777777776,22011.31111111111,54451.066666666666,undefined,37325.37777777777,16131.577777777777,undefined,16891.933333333334,5937.688888888889
1732964400000,31845.599999999995,32935.51111111111,30647.711111111108,61774.688888888886,undefined,458.6666666666667,34672.333333333336,undefined,33474.666666666664,4086.866666666667
1732971600000,28022.222222222223,31527.93333333333,25136.533333333333,57433.333333333336,undefined,479.8444444444445,27337.933333333334,undefined,25494.911111111112,4195.355555555556
1732978800000,18271.555555555555,15839.155555555557,17791.711111111108,40479.64444444444,undefined,569.1333333333333,22053.44444444444,undefined,19823.311111111114,2776.4666666666667
1732986000000,20703.24444444444,16674.333333333332,16102.31111111111,32705.466666666667,undefined,365.1333333333333,20006.711111111108,undefined,13842.044444444444,3136.088888888889
1732993200000,9338.444444444443,8938.666666666666,10810.844444444443,20250.755555555555,undefined,479.6,11219.844444444443,undefined,9507.644444444444,1905.0888888888887
1733000400000,19457.511111111107,15108.266666666666,14616.466666666665,24728.755555555555,undefined,408.2,16746.28888888889,undefined,15018.111111111111,2770
1733007600000,7320.688888888889,8440.111111111111,8340.022222222222,19123.11111111111,undefined,460.8,8357.933333333332,undefined,7333.333333333333,1343.6888888888889
1733014800000,7942.711111111111,7625.555555555554,8671.022222222222,21949.28888888889,undefined,430.4888888888889,6514.133333333333,undefined,5905.288888888888,1362.6
